hardware,hbm_budget_gib,world,tp,dp,ep,ffn_tp,nested_cp,cache_dtype,context,weight_gib,allowance_gib,cache_state_per_request_gib,minimum_hbm_one_request_gib,requests_per_dp,cluster_requests,resident_tokens,implemented_mesh
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,1024,274.9372925758362,20,0.247467041015625,295.1847596168518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,8192,274.9372925758362,20,0.432037353515625,295.3693299293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,32768,274.9372925758362,20,1.064849853515625,296.0021424293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,131072,274.9372925758362,20,3.596099853515625,298.5333924293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,524288,274.9372925758362,20,13.721099853515625,308.6583924293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,bfloat16,1048576,274.9372925758362,20,27.221099853515625,322.1583924293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,fp8_e4m3,1024,274.9372925758362,20,0.234283447265625,295.1715760231018,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,fp8_e4m3,8192,274.9372925758362,20,0.326568603515625,295.2638611793518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,fp8_e4m3,32768,274.9372925758362,20,0.642974853515625,295.5802674293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,fp8_e4m3,131072,274.9372925758362,20,1.908599853515625,296.8458924293518,0,0,0,True
GB200_measured,184.306640625,8,1,8,8,1,1,fp8_e4m3,524288,274.9372925758362,20,6.971099853515625,301.9083924293518,0,0,0,True
