rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
9,8,8,8,64,balanced,0.40622294743855797,1.7499998807907104,4171235328,57344
9,8,8,8,64,hot_rank,0.2283221403757731,55.999996185302734,4171235328,57344
9,8,8,128,1024,balanced,0.4729493459065755,1.0390625,4171235328,917504
9,8,8,128,1024,hot_rank,1.051645851135254,55.999996185302734,4171235328,917504
9,8,8,512,4096,balanced,0.6286762873331706,1.01171875,4171235328,3670016
9,8,8,512,4096,hot_rank,2.444695536295573,55.999996185302734,4171235328,3670016
9,8,8,2048,16384,balanced,1.5401877085367839,1.00146484375,4171235328,14680064
9,8,8,2048,16384,hot_rank,9.031583658854167,55.999996185302734,4171235328,14680064
9,4,4,1,4,balanced,0.2739434560139974,13.999999046325684,3089104896,7168
9,4,4,1,4,hot_rank,0.12899626890818278,55.999996185302734,3089104896,7168
9,4,4,8,32,balanced,0.7523946762084961,1.7499998807907104,3089104896,57344
9,4,4,8,32,hot_rank,0.18174506823221842,55.999996185302734,3089104896,57344
9,4,4,128,512,balanced,0.8466431935628255,1.09375,3089104896,917504
9,4,4,128,512,hot_rank,0.9098496119181315,55.999996185302734,3089104896,917504
9,4,4,512,2048,balanced,1.0731136322021484,1.01171875,3089104896,3670016
9,4,4,512,2048,hot_rank,1.5037525177001954,55.999996185302734,3089104896,3670016
9,4,4,2048,8192,balanced,1.6727957407633463,1.0048828125,3089104896,14680064
9,4,4,2048,8192,hot_rank,4.729638163248698,55.999996185302734,3089104896,14680064
10,16,16,1,16,balanced,0.1963754653930664,3.499999761581421,6981419008,7168
10,16,16,1,16,hot_rank,0.11279786427815755,55.999996185302734,6981419008,7168
10,16,16,8,128,balanced,0.21488213539123535,1.3125,6981419008,57344
10,16,16,8,128,hot_rank,0.36924587885538734,55.999996185302734,6981419008,57344
10,16,16,128,2048,balanced,2.829461415608724,1.01171875,6981419008,917504
10,16,16,128,2048,hot_rank,1.3672682444254558,55.999996185302734,6981419008,917504
10,16,16,512,8192,balanced,0.5361770629882813,1.0048828125,6981419008,3670016
10,16,16,512,8192,hot_rank,4.676830037434896,55.999996185302734,6981419008,3670016
