rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
1,1,16,1,128,1048576,0.7449855804443359,0.9307168006896973,0.9033087730407715,0.0008585304021835327,4026531840,515396075520
1,1,16,1,1024,1048576,2.9232383728027345,3.5564735412597654,3.477412796020508,0.0008585304021835327,4026531840,4123168604160
1,1,16,1,8192,1048576,22.94176025390625,25.268899536132814,24.82542724609375,0.0008585304021835327,4026531840,32985348833280
1,4,1,4,1,32768,0.3555936098098755,0.35559680461883547,0.34909920692443847,0.003408074378967285,503316480,503316480
1,4,1,4,128,32768,0.35697600841522215,0.35808959007263186,0.35000159740448,0.003408074378967285,503316480,64424509440
1,4,1,4,1024,32768,0.4833888053894043,0.48250560760498046,0.476039981842041,0.003408074378967285,503316480,515396075520
1,4,1,4,8192,32768,2.7301151275634767,2.9064064025878906,2.7714271545410156,0.003408074378967285,503316480,4123168604160
1,4,1,4,1,131072,1.5007935523986817,1.3888799667358398,1.3741007804870606,0.003408074378967285,2013265920,2013265920
1,4,1,4,128,131072,1.3819583892822265,1.3819231986999512,1.3746352195739746,0.003408074378967285,2013265920,257698037760
1,4,1,4,1024,131072,1.868707275390625,1.8821439743041992,1.8631439208984375,0.003408074378967285,2013265920,2061584302080
1,4,1,4,8192,131072,11.373983764648438,11.543539428710938,12.26082534790039,0.003408074378967285,2013265920,16492674416640
1,4,1,4,1,1048576,10.946995544433594,10.944921875,10.92559814453125,0.003408074378967285,16106127360,16106127360
1,4,1,4,128,1048576,10.934294128417969,10.93740463256836,10.930487823486327,0.003408074378967285,16106127360,2061584302080
1,4,1,4,1024,1048576,14.959078979492187,15.067292785644531,15.274189758300782,0.003408074378967285,16106127360,16492674416640
1,4,1,4,8192,1048576,97.79586791992188,98.41255493164063,98.2951416015625,0.003408074378967285,16106127360,131941395333120
1,8,1,2,1,32768,0.35487680435180663,0.35395519733428954,0.3474191904067993,0.002366364002227783,251658240,251658240
1,8,1,2,128,32768,0.35443840026855467,0.354038405418396,0.3476896047592163,0.002366364002227783,251658240,32212254720
1,8,1,2,1024,32768,0.4697279930114746,0.46845121383666993,0.4616096019744873,0.002366364002227783,251658240,257698037760
1,8,1,2,8192,32768,1.361564826965332,1.3687680244445801,1.3691871643066407,0.002366364002227783,251658240,2061584302080
1,8,1,2,1,131072,1.502614402770996,1.3722784042358398,1.3641584396362305,0.002366364002227783,1006632960,1006632960
1,8,1,2,128,131072,1.3715999603271485,1.3728063583374024,1.3651776313781738,0.002366364002227783,1006632960,128849018880
1,8,1,2,1024,131072,1.8220832824707032,1.8222463607788086,1.813844871520996,0.002366364002227783,1006632960,1030792151040
1,8,1,2,8192,131072,5.380070495605469,5.544303894042969,5.647796630859375,0.002366364002227783,1006632960,8246337208320
1,8,1,2,1,1048576,10.859423828125,10.85674591064453,10.838024139404297,0.002366364002227783,8053063680,8053063680
1,8,1,2,128,1048576,10.843443298339844,10.842720031738281,10.837169647216797,0.002366364002227783,8053063680,1030792151040
1,8,1,2,1024,1048576,14.456562805175782,14.461030578613281,14.45355224609375,0.002366364002227783,8053063680,8246337208320
1,8,1,2,8192,1048576,47.04405517578125,46.458734130859376,47.73582458496094,0.002366364002227783,8053063680,65970697666560
1,4,2,2,1,32768,0.1863360047340393,0.3275455951690674,0.2144767999649048,0.003609955310821533,251658240,251658240
1,4,2,2,128,32768,0.18617600202560425,0.32135040760040284,0.22348320484161377,0.003609955310821533,251658240,32212254720
1,4,2,2,1024,32768,0.25029759407043456,0.3437567949295044,0.3317456007003784,0.003609955310821533,251658240,257698037760
1,4,2,2,8192,32768,1.3720512390136719,1.693836784362793,1.7196640014648437,0.003609955310821533,251658240,2061584302080
1,4,2,2,1,131072,0.6963136196136475,0.7596543788909912,0.7450575828552246,0.003609955310821533,1006632960,1006632960
1,4,2,2,128,131072,0.6987967967987061,0.7455103874206543,0.7348896026611328,0.003609955310821533,1006632960,128849018880
1,4,2,2,1024,131072,0.9441856384277344,1.0371808052062987,1.025550365447998,0.003609955310821533,1006632960,1030792151040
1,4,2,2,8192,131072,5.666937637329101,6.235225677490234,6.033636856079101,0.003609955310821533,1006632960,8246337208320
1,4,2,2,1,1048576,5.477967834472656,5.51550064086914,5.507977676391602,0.003609955310821533,8053063680,8053063680
1,4,2,2,128,1048576,5.480166244506836,5.524796676635742,5.516371154785157,0.003609955310821533,8053063680,1030792151040
1,4,2,2,1024,1048576,7.438697814941406,7.606150054931641,7.60626220703125,0.003609955310821533,8053063680,8246337208320
1,4,2,2,8192,1048576,48.62479248046875,50.34349670410156,50.06065673828125,0.003609955310821533,8053063680,65970697666560
1,2,4,2,1,32768,0.1033951997756958,0.49592318534851076,0.14615520238876342,0.001435011625289917,251658240,251658240
1,2,4,2,128,32768,0.10319679975509644,0.465558385848999,0.1666800022125244,0.001435011625289917,251658240,32212254720
1,2,4,2,1024,32768,0.2634399890899658,0.4851712226867676,0.42301278114318847,0.001435011625289917,251658240,257698037760
1,2,4,2,8192,32768,1.245638370513916,2.0173343658447265,1.9326751708984375,0.001435011625289917,251658240,2061584302080
1,2,4,2,1,131072,0.36551361083984374,0.47190079689025877,0.4156223773956299,0.001435011625289917,1006632960,1006632960
1,2,4,2,128,131072,0.36332480907440184,0.5039775848388672,0.4251904010772705,0.001435011625289917,1006632960,128849018880
1,2,4,2,1024,131072,0.9763487815856934,1.1573920249938965,1.1413104057312011,0.001435011625289917,1006632960,1030792151040
1,2,4,2,8192,131072,5.239129638671875,6.348518371582031,6.186110305786133,0.001435011625289917,1006632960,8246337208320
1,2,4,2,1,1048576,2.943961524963379,2.85732479095459,2.8426624298095704,0.001435011625289917,8053063680,8053063680
1,2,4,2,128,1048576,2.7985824584960937,2.875996780395508,2.865056037902832,0.001435011625289917,8053063680,1030792151040
1,2,4,2,1024,1048576,7.651417541503906,7.9388481140136715,7.9401695251464846,0.001435011625289917,8053063680,8246337208320
1,2,4,2,8192,1048576,47.010003662109376,48.987240600585935,49.296331787109374,0.001435011625289917,8053063680,65970697666560
2,16,1,1,1,32768,0.34910080432891843,0.3470495939254761,0.3384063959121704,0.0021422505378723145,125829120,125829120
2,16,1,1,128,32768,0.34666240215301514,0.3456063985824585,0.3383455991744995,0.0021422505378723145,125829120,16106127360
2,16,1,1,1024,32768,0.46770877838134767,0.4657343864440918,0.45883679389953613,0.0021422505378723145,125829120,128849018880
2,16,1,1,8192,32768,0.9072896003723144,0.9002592086791992,0.8959487915039063,0.0021422505378723145,125829120,1030792151040
2,16,1,1,1,131072,1.3553759574890136,1.3740703582763671,1.3471152305603027,0.0021422505378723145,503316480,503316480
2,16,1,1,128,131072,1.3563103675842285,1.355081558227539,1.3476256370544433,0.0021422505378723145,503316480,64424509440
2,16,1,1,1024,131072,1.8090080261230468,1.8076095581054688,1.8009872436523438,0.0021422505378723145,503316480,515396075520
2,16,1,1,8192,131072,3.544319915771484,3.5041759490966795,3.5052799224853515,0.0021422505378723145,503316480,4123168604160
2,16,1,1,1,1048576,10.733203125,10.721788787841797,10.713212585449218,0.0021422505378723145,4026531840,4026531840
2,16,1,1,128,1048576,10.722329711914062,10.722284698486328,10.714729309082031,0.0021422505378723145,4026531840,515396075520
2,16,1,1,1024,1048576,14.353596496582032,14.34517822265625,14.3420654296875,0.0021422505378723145,4026531840,4123168604160
2,16,1,1,8192,1048576,28.359295654296876,28.364434814453126,28.51097412109375,0.0021422505378723145,4026531840,32985348833280
2,8,2,1,1,32768,0.1818560004234314,0.4969503879547119,0.20780160427093505,0.002017885446548462,125829120,125829120
2,8,2,1,128,32768,0.1820896029472351,0.4699872016906738,0.215065598487854,0.002017885446548462,125829120,16106127360
